rep1,rep2
HJR250_19,HJR306_16_r1
HJR250_6,HJR306_16_r2
HJR250_3,HJR306_16_r3
HJR250_9,HJR306_16_r4
HJR250_10,HJR306_16_r5
HJR250_11,HJR306_16_r6
HJR250_12,HJR306_16_r7
HJR250_14,HJR306_16_r8
HJR250_15,HJR306_16_r9
HJR250_17,HJR306_16_r10
HJR250_18,HJR306_16_r11
HJR250_20,HJR306_16_r12
HJR250_21,HJR306_16_r13
HJR250_22,HJR306_16_r14
HJR231_3,HJR307_1
HJR231_1,HJR307_2
HJR313_MGY_rep1_timepoint1,HJR313_MGY_rep2_timepoint1
HJR313_MGY_rep1_timepoint2,HJR313_MGY_rep2_timepoint2
HJR313_MGY_rep1_timepoint3,HJR313_MGY_rep2_timepoint3
HJR264_2,HJR321_2
HJR321_3,HJR321_5
HJR321_4,HJR321_6
HJR306_17_r1,HJR321_7
HJR306_17_r2,HJR321_8
