group,rep1,rep2,um,min,ugi,enzyme
fig_ed6a,HJR306_01,HJR306_16,1,10,FALSE,DddA11
fig_ed6a,HJR306_02,HJR306_17,1,30,FALSE,DddA11
fig_ed6a,HJR306_03,HJR306_18,1,120,FALSE,DddA11
fig_ed6a,HJR306_04,HJR306_19,3,10,FALSE,DddA11
fig_ed6a,HJR306_05,HJR306_20,3,30,FALSE,DddA11
fig_ed6a,HJR306_06,HJR306_21,3,120,FALSE,DddA11
fig_ed6a,HJR306_07,HJR306_22,10,10,FALSE,DddA11
fig_ed6a,HJR306_08,HJR306_23,10,30,FALSE,DddA11
fig_ed6a,HJR306_09,HJR306_24,10,120,FALSE,DddA11
fig_ed6b,HJR306_10,HJR306_07,10,10,FALSE,DddA11
fig_ed6b,HJR306_11,HJR306_26,10,30,FALSE,DddA11
fig_ed6b,HJR306_12,HJR306_27,10,120,FALSE,DddA11
fig_ed6b,HJR306_13,HJR306_28,10,10,TRUE,DddA11
fig_ed6b,HJR306_14,HJR306_29,10,30,TRUE,DddA11
fig_ed6b,HJR306_15,HJR306_30,10,120,TRUE,DddA11
fig_ed6b,HJR306_17_r3,HJR304_HS2_5,3,3,FALSE,MGYFPDa829
