# packages in environment at /home/yanhu/utils/miniforge3:
#
# Name                    Version                   Build  Channel
_libgcc_mutex             0.1                 conda_forge    conda-forge
_openmp_mutex             4.5                       2_gnu    conda-forge
_r-mutex                  1.0.1               anacondar_1    conda-forge
archspec                  0.2.3              pyhd3eb1b0_0  
argcomplete               3.3.0              pyhd8ed1ab_0    conda-forge
binutils_impl_linux-64    2.40                 hf600244_0    conda-forge
bioconductor-annotate     1.80.0            r43hdfd78af_0    bioconda
bioconductor-annotationdbi 1.64.1            r43hdfd78af_0    bioconda
bioconductor-annotationfilter 1.26.0            r43hdfd78af_0    bioconda
bioconductor-beachmat     2.18.0            r43hf17093f_0    bioconda
bioconductor-biobase      2.62.0            r43ha9d7317_1    bioconda
bioconductor-biocfilecache 2.10.1            r43hdfd78af_0    bioconda
bioconductor-biocgenerics 0.48.1            r43hdfd78af_2    bioconda
bioconductor-biocio       1.12.0            r43hdfd78af_0    bioconda
bioconductor-biocparallel 1.36.0            r43hf17093f_1    bioconda
bioconductor-biomart      2.58.0            r43hdfd78af_0    bioconda
bioconductor-biostrings   2.70.1            r43ha9d7317_1    bioconda
bioconductor-bsgenome     1.70.1            r43hdfd78af_0    bioconda
bioconductor-bsgenome.hsapiens.ucsc.hg38 1.4.5             r43hdfd78af_2    bioconda
bioconductor-cner         1.38.0            r43ha9d7317_0    bioconda
bioconductor-data-packages 20231203             hdfd78af_0    bioconda
bioconductor-delayedarray 0.28.0            r43ha9d7317_1    bioconda
bioconductor-delayedmatrixstats 1.24.0            r43hdfd78af_0    bioconda
bioconductor-dirichletmultinomial 1.44.0            r43hee7dd41_0    bioconda
bioconductor-ensdb.hsapiens.v86 2.99.0           r43hdfd78af_12    bioconda
bioconductor-ensembldb    2.26.0            r43hdfd78af_0    bioconda
bioconductor-genomeinfodb 1.38.1            r43hdfd78af_1    bioconda
bioconductor-genomeinfodbdata 1.2.11            r43hdfd78af_1    bioconda
bioconductor-genomicalignments 1.38.0            r43ha9d7317_0    bioconda
bioconductor-genomicfeatures 1.54.1            r43hdfd78af_0    bioconda
bioconductor-genomicranges 1.54.1            r43ha9d7317_1    bioconda
bioconductor-glmgampoi    1.14.0            r43hf17093f_0    bioconda
bioconductor-go.db        3.18.0            r43hdfd78af_0    bioconda
bioconductor-hdf5array    1.30.0            r43ha9d7317_0    bioconda
bioconductor-iranges      2.36.0            r43ha9d7317_1    bioconda
bioconductor-jaspar2020   0.99.10           r43hdfd78af_7    bioconda
bioconductor-keggrest     1.42.0            r43hdfd78af_0    bioconda
bioconductor-matrixgenerics 1.14.0            r43hdfd78af_1    bioconda
bioconductor-protgenerics 1.34.0            r43hdfd78af_0    bioconda
bioconductor-rhdf5        2.46.1            r43hf17093f_0    bioconda
bioconductor-rhdf5filters 1.14.1            r43hf17093f_0    bioconda
bioconductor-rhdf5lib     1.24.0            r43ha9d7317_1    bioconda
bioconductor-rhtslib      2.4.0             r43ha9d7317_1    bioconda
bioconductor-rsamtools    2.18.0            r43hf17093f_1    bioconda
bioconductor-rtracklayer  1.62.0            r43ha9d7317_0    bioconda
bioconductor-s4arrays     1.2.0             r43ha9d7317_1    bioconda
bioconductor-s4vectors    0.40.2            r43ha9d7317_1    bioconda
bioconductor-seqlogo      1.68.0            r43hdfd78af_0    bioconda
bioconductor-singlecellexperiment 1.24.0            r43hdfd78af_0    bioconda
